node_index,DAT_m,PCE_m,error_m,error_mm
90,-0.8404984541499999,-0.8413153113918467,0.000816857241846769,81.6857241846769
91,-0.79243669733,-0.7925930830362266,0.00015638570622655834,15.638570622655834
92,-0.6750538569900001,-0.6747824842101098,-0.00027137277989031094,-27.137277989031094
93,-0.51426673158,-0.5140571163969612,-0.00020961518303885818,-20.961518303885818
94,-0.37615634315999996,-0.3751615031815578,-0.0009948399784421857,-99.48399784421858
95,-0.27182283906,-0.2716599746457228,-0.00016286441427720844,-16.286441427720845
96,-0.141184317088,-0.14138724931349833,0.00020293222549833123,20.293222549833125
97,0.09330814517700002,0.0926975704321686,0.0006105747448314214,61.05747448314214
98,0.49789982385000003,0.49811799278308566,-0.00021816893308562735,-21.816893308562733
99,1.0735930652099999,1.07284107426227,0.0007519909477298192,75.19909477298192
100,1.6518304056,1.6512024900210744,0.0006279155789254975,62.791557892549754
101,2.0271900864999997,2.026537911899471,0.0006521746005287987,65.21746005287987
102,2.0073952304,2.006388977984077,0.0010062524159226705,100.62524159226705
103,1.6797814408999998,1.6800386693696434,-0.0002572284696436,-25.722846964360002
104,1.31152748592,1.3117831909793871,-0.00025570505938721233,-25.570505938721233
105,0.9741195367700001,0.9746152448735589,-0.0004957081035588118,-49.57081035588118
106,0.69585559668,0.6964331332140105,-0.0005775365340104921,-57.753653401049206
107,0.48074665993999993,0.48196996213077553,-0.0012233021907755992,-122.33021907755992
108,0.32388450577,0.3245530671345381,-0.0006685613645380784,-66.85613645380784
109,0.21564960984099998,0.21590817273526466,-0.00025856289426468004,-25.856289426468003
110,0.1447319976163,0.14481990013246657,-8.790251616655476e-05,-8.790251616655475
111,0.10050758310229997,0.1004629481158769,4.4634986423069956e-05,4.463498642306996
112,0.07376769991875,0.07340103172817926,0.0003666681905707403,36.66681905707403
113,0.057836698211678,0.05770192071289139,0.00013477749878661183,13.477749878661182
